ScopePrefix,UnitName,FileName,ParentDirectory
Data,DB,Data.DB.pas,...\data\
Data,DBByteBuffer,Data.DBByteBuffer.pas,...\data\
Data,DBCommon,Data.DBCommon.pas,...\data\
Data,DBCommonTypes,Data.DBCommonTypes.pas,...\data\
Data,DBConsts,Data.DBConsts.pas,...\data\
Data,DBPlatform,Data.DBPlatform.pas,...\data\
Data,FMTBcd,Data.FMTBcd.pas,...\data\
Data,SqlTimSt,Data.SqlTimSt.pas,...\data\
Data.Win,ADOConEd,Data.Win.ADOConEd.pas,...\data\ado\
Data.Win,ADOConst,Data.Win.ADOConst.pas,...\data\ado\
Data.Win,ADODB,Data.Win.ADODB.pas,...\data\ado\
Bde,Bdeconst,Bde.Bdeconst.pas,...\data\bde\
Bde,DBTables,Bde.DBTables.pas,...\data\bde\
Bde,DrTable,Bde.DrTable.pas,...\data\bde\
,BDE,BDE.pas,...\data\bde\
Bde,SMINTF,Bde.SMINTF.pas,...\data\bde\
,AzureUI,AzureUI.pas,...\data\cloud\
Data.Cloud,AmazonAPI,Data.Cloud.AmazonAPI.pas,...\data\cloud\
Data.Cloud,AzureAPI,Data.Cloud.AzureAPI.pas,...\data\cloud\
Data.Cloud,CloudAPI,Data.Cloud.CloudAPI.pas,...\data\cloud\
,DSAzDlgACL,DSAzDlgACL.pas,...\data\cloud\
,DSAzDlgBlock,DSAzDlgBlock.pas,...\data\cloud\
,DSAzDlgBlockBlob,DSAzDlgBlockBlob.pas,...\data\cloud\
,DSAzDlgBlockProps,DSAzDlgBlockProps.pas,...\data\cloud\
,DSAzDlgCopyBlob,DSAzDlgCopyBlob.pas,...\data\cloud\
,DSAzDlgCreateContainer,DSAzDlgCreateContainer.pas,...\data\cloud\
,DSAzDlgMetadata,DSAzDlgMetadata.pas,...\data\cloud\
,DSAzDlgPage,DSAzDlgPage.pas,...\data\cloud\
,DSAzDlgPageBlob,DSAzDlgPageBlob.pas,...\data\cloud\
,DSAzDlgPageProps,DSAzDlgPageProps.pas,...\data\cloud\
,DSAzDlgPutBlockList,DSAzDlgPutBlockList.pas,...\data\cloud\
,DSAzDlgSnapshotBlob,DSAzDlgSnapshotBlob.pas,...\data\cloud\
,DSAzure,DSAzure.pas,...\data\cloud\
,DSAzureBlob,DSAzureBlob.pas,...\data\cloud\
,DSAzureMessageDialog,DSAzureMessageDialog.pas,...\data\cloud\
,DSAzureQueue,DSAzureQueue.pas,...\data\cloud\
,DSAzureQueueMetadataDialog,DSAzureQueueMetadataDialog.pas,...\data\cloud\
,DSAzureTable,DSAzureTable.pas,...\data\cloud\
,DSAzureTableDialog,DSAzureTableDialog.pas,...\data\cloud\
,DSAzureTableRowDialog,DSAzureTableRowDialog.pas,...\data\cloud\
Data,DbxDatasnap,Data.DbxDatasnap.pas,...\data\datasnap\
Data,DBXMemoryRow,Data.DBXMemoryRow.pas,...\data\datasnap\
Data,DBXMessageHandlerJSonServer,Data.DBXMessageHandlerJSonServer.pas,...\data\datasnap\
Data,DBXMessageHandlerServer,Data.DBXMessageHandlerServer.pas,...\data\datasnap\
Datasnap,DSAuth,Datasnap.DSAuth.pas,...\data\datasnap\
Datasnap,DSClientMetadata,Datasnap.DSClientMetadata.pas,...\data\datasnap\
Datasnap,DSClientResStrs,Datasnap.DSClientResStrs.pas,...\data\datasnap\
Datasnap,DSClientRest,Datasnap.DSClientRest.pas,...\data\datasnap\
Datasnap,DSCommonProxy,Datasnap.DSCommonProxy.pas,...\data\datasnap\
Datasnap,DSCommonServer,Datasnap.DSCommonServer.pas,...\data\datasnap\
Datasnap,DSCommonTable,Datasnap.DSCommonTable.pas,...\data\datasnap\
Datasnap,DSConnect,Datasnap.DSConnect.pas,...\data\datasnap\
Datasnap,DSHTTP,Datasnap.DSHTTP.pas,...\data\datasnap\
Datasnap,DSHTTPCommon,Datasnap.DSHTTPCommon.pas,...\data\datasnap\
Datasnap,DSHTTPLayer,Datasnap.DSHTTPLayer.pas,...\data\datasnap\
Datasnap,DSHTTPWebBroker,Datasnap.DSHTTPWebBroker.pas,...\data\datasnap\
Datasnap,DSLoginDlg,Datasnap.DSLoginDlg.pas,...\data\datasnap\
Datasnap,DSNames,Datasnap.DSNames.pas,...\data\datasnap\
Datasnap,DSPlatform,Datasnap.DSPlatform.pas,...\data\datasnap\
Datasnap,DSProxy,Datasnap.DSProxy.pas,...\data\datasnap\
Datasnap,DSProxyCpp,Datasnap.DSProxyCpp.pas,...\data\datasnap\
Datasnap,DSProxyCppRest,Datasnap.DSProxyCppRest.pas,...\data\datasnap\
Datasnap,DSProxyDelphi,Datasnap.DSProxyDelphi.pas,...\data\datasnap\
Datasnap,DSProxyDelphiRest,Datasnap.DSProxyDelphiRest.pas,...\data\datasnap\
Datasnap,DSProxyJavaScript,Datasnap.DSProxyJavaScript.pas,...\data\datasnap\
Datasnap,DSProxyRest,Datasnap.DSProxyRest.pas,...\data\datasnap\
Datasnap,DSProxyWriter,Datasnap.DSProxyWriter.pas,...\data\datasnap\
Datasnap,DSReflect,Datasnap.DSReflect.pas,...\data\datasnap\
Datasnap,DSServer,Datasnap.DSServer.pas,...\data\datasnap\
Datasnap,DSServerResStrs,Datasnap.DSServerResStrs.pas,...\data\datasnap\
Datasnap,DSService,Datasnap.DSService.pas,...\data\datasnap\
Datasnap,DSTCPServerTransport,Datasnap.DSTCPServerTransport.pas,...\data\datasnap\
Datasnap,DSTransport,Datasnap.DSTransport.pas,...\data\datasnap\
Datasnap,DSCustomConnectorProxyWriter,Datasnap.DSCustomConnectorProxyWriter.pas,...\data\datasnap\connectors\
Datasnap,DSHTTPServiceProxyDispatcher,Datasnap.DSHTTPServiceProxyDispatcher.pas,...\data\datasnap\connectors\
Datasnap,DSProxyCsharpSilverlight,Datasnap.DSProxyCsharpSilverlight.pas,...\data\datasnap\connectors\
Datasnap,DSProxyDispatcher,Datasnap.DSProxyDispatcher.pas,...\data\datasnap\connectors\
Datasnap,DSProxyJavaAndroid,Datasnap.DSProxyJavaAndroid.pas,...\data\datasnap\connectors\
Datasnap,DSProxyJavaBlackBerry,Datasnap.DSProxyJavaBlackBerry.pas,...\data\datasnap\connectors\
Datasnap,DSProxyObjectiveCiOS,Datasnap.DSProxyObjectiveCiOS.pas,...\data\datasnap\connectors\
Datasnap,DSProxyUtils,Datasnap.DSProxyUtils.pas,...\data\datasnap\connectors\
Datasnap,DSProxyWriterRegistry,Datasnap.DSProxyWriterRegistry.pas,...\data\datasnap\proxygen\
Data,DBConnAdmin,Data.DBConnAdmin.pas,...\data\dbx\
Data,DBXClassRegistry,Data.DBXClassRegistry.pas,...\data\dbx\
Data,DBXClient,Data.DBXClient.pas,...\data\dbx\
Data,DBXClientResStrs,Data.DBXClientResStrs.pas,...\data\dbx\
Data,DBXCommon,Data.DBXCommon.pas,...\data\dbx\
Data,DBXCommonIndy,Data.DBXCommonIndy.pas,...\data\dbx\
Data,DBXCommonResStrs,Data.DBXCommonResStrs.pas,...\data\dbx\
Data,DBXCommonTable,Data.DBXCommonTable.pas,...\data\dbx\
Data,DbxCompressionFilter,Data.DbxCompressionFilter.pas,...\data\dbx\
Data,DBXDataExpressMetaDataProvider,Data.DBXDataExpressMetaDataProvider.pas,...\data\dbx\
Data,DbxDb2,Data.DbxDb2.pas,...\data\dbx\
Data,DBXDb2MetaData,Data.DBXDb2MetaData.pas,...\data\dbx\
Data,DBXDb2MetaDataReader,Data.DBXDb2MetaDataReader.pas,...\data\dbx\
Data,DBXDb2MetaDataWriter,Data.DBXDb2MetaDataWriter.pas,...\data\dbx\
Data,DBXDb2ReadOnlyMetaData,Data.DBXDb2ReadOnlyMetaData.pas,...\data\dbx\
Data,DBXDBReaders,Data.DBXDBReaders.pas,...\data\dbx\
Data,DBXDelegate,Data.DBXDelegate.pas,...\data\dbx\
Data,DBXDynalink,Data.DBXDynalink.pas,...\data\dbx\
Data,DBXDynalinkNative,Data.DBXDynalinkNative.pas,...\data\dbx\
Data,DBXEncryption,Data.DBXEncryption.pas,...\data\dbx\
Data,DbxFirebird,Data.DbxFirebird.pas,...\data\dbx\
Data,DBXFirebirdMetaData,Data.DBXFirebirdMetaData.pas,...\data\dbx\
Data,DBXFirebirdMetaDataReader,Data.DBXFirebirdMetaDataReader.pas,...\data\dbx\
Data,DBXFirebirdMetaDataWriter,Data.DBXFirebirdMetaDataWriter.pas,...\data\dbx\
